42,"What does the ""Triggering"" relationship in ArchiMate depict?",A) One behavior element initiates the execution of another,B) One element is composed of other elements,C) One element is physically located inside another,D) One element is assigned to another element,A)
43,"What is the purpose of a ""Plateau"" element in the ArchiMate Implementation & Migration viewpoint?",A) To represent a stable state in the implementation roadmap,B) To model a business capability,C) To model a technical infrastructure component,D) To model a business process,A)
44,Which ArchiMate concept represents a collection of related elements grouped to address a specific set of concerns?,A) View,B) Viewpoint,C) Stakeholder,D) Grouping,B)
45,What is the purpose of the ArchiMate Exchange Format (AEF)?,A) To exchange ArchiMate models between different modeling tools,B) To define the visual notation of ArchiMate diagrams,C) To define the metamodel of the ArchiMate language,D) To provide guidance on how to use ArchiMate in practice,A)
46,Which of the following is NOT a standard ArchiMate viewpoint?,A) Business Process Cooperation viewpoint,B) Application Cooperation viewpoint,C) Technology Realization viewpoint,D) Data Flow viewpoint,D)
47,What is the difference between a Business Service and an Application Service in ArchiMate?,"A) A Business Service is offered to internal stakeholders, while an Application Service is offered to external customers",B) A Business Service is realized by an Application Service,C) An Application Service is realized by a Business Service,D) There is no difference; they are interchangeable terms,B)
48,Which ArchiMate element represents a collection of data that is structured in a specific way?,A) Data Object,B) Data Structure,C) Artifact,D) Information Service,B)
49,"What is the purpose of the ""Composition"" relationship in ArchiMate?",A) To show that one element is made up of other elements,B) To indicate that one element is derived from another element,C) To show that one element is dependent on another element,D) To show that one element can access another element,A)
50,"What is the difference between an ""Application Component"" and an ""Application Function"" in ArchiMate?","A) An Application Component represents a physical software module, while an Application Function represents a logical unit of functionality","B) An Application Function represents a physical software module, while an Application Component represents a logical unit of functionality","C) An Application Component is used in the Application Layer, while an Application Function is used in the Business Layer","D) An Application Function is used in the Application Layer, while an Application Component is used in the Business Layer",A)
51,Which ArchiMate relationship type is used to associate a risk with an element that it might impact?,A) Association Relationship,B) Influence Relationship,C) Assignment Relationship,D) Aggregation Relationship,B)
52,"What is the purpose of the ""Goal Realization"" relationship in ArchiMate?",A) To show how elements contribute to achieving a specific goal,B) To indicate that one element is derived from another element,C) To show that one element is dependent on another element,D) To show that one element can access another element,A)
53,Which ArchiMate viewpoint focuses on modeling the relationships between business actors and the services they offer or use?,A) Business Process Cooperation viewpoint,B) Application Cooperation viewpoint,C) Technology Collaboration viewpoint,D) Value Stream viewpoint,A)
54,"What is the difference between a ""Gap"" and a ""Work Package"" in the Implementation & Migration viewpoint?","A) A Gap represents a difference between the baseline and target architectures, while a Work Package represents a unit of work to address a gap","B) A Work Package represents a difference between the baseline and target architectures, while a Gap represents a unit of work to address a work package","C) A Gap is used in the Motivation extension, while a Work Package is used in the Implementation & Migration viewpoint","D) A Work Package is used in the Motivation extension, while a Gap is used in the Implementation & Migration viewpoint",A)
55,Which ArchiMate element represents a tangible or digital object that is used or produced by a business process?,A) Business Object,B) Data Object,C) Artifact,D) Representation,C)
56,"What is the purpose of the ""Flow"" relationship in ArchiMate?",A) To show the movement of resources between elements,B) To indicate that one element is derived from another element,C) To show that one element is dependent on another element,D) To show that one element can access another element,A)
57,Which ArchiMate viewpoint is particularly useful for communicating the value proposition of the architecture to stakeholders?,A) Stakeholder Map viewpoint,B) Motivation viewpoint,C) Value Stream viewpoint,D) Implementation & Migration viewpoint,C)
58,"What is the difference between a ""Principle"" and a ""Requirement"" in ArchiMate?","A) A Principle is a high-level guideline, while a Requirement is a more specific and testable statement","B) A Requirement is a high-level guideline, while a Principle is a more specific and testable statement","C) A Principle is used in the Motivation extension, while a Requirement is used in the Implementation & Migration viewpoint","D) A Requirement is used in the Motivation extension, while a Principle is used in the Implementation & Migration viewpoint",A)
59,Which ArchiMate element represents a collection of nodes and connections that provides a platform for other elements to operate on?,A) Infrastructure Service,B) Network,C) Device,D) System Software,B)
60,"What is the purpose of the ""Aggregation"" relationship in ArchiMate?",A) To show that one element is a collection or grouping of other elements,B) To indicate that one element is derived from another element,C) To show that one element is dependent on another element,D) To show that one element can access another element,A)
61,Which ArchiMate viewpoint focuses on modeling the structure and dependencies of the technology infrastructure?,A) Technology Infrastructure viewpoint,B) Technology Realization viewpoint,C) Technology Collaboration viewpoint,D) Technology Function viewpoint,A)
62,"What is the difference between a ""Business Interface"" and an ""Application Interface"" in ArchiMate?","A) A Business Interface represents a point of interaction between a business and its external environment, while an Application Interface represents a point of interaction between applications","B) An Application Interface represents a point of interaction between a business and its external environment, while a Business Interface represents a point of interaction between applications","C) A Business Interface is used in the Business Layer, while an Application Interface is used in the Application Layer","D) An Application Interface is used in the Business Layer, while a Business Interface is used in the Application Layer",A)
63,Which ArchiMate element represents a state or condition of an element?,A) Business Object,B) Data Object,C) Artifact,D) State,D)
64,"What is the purpose of the ""Specialization"" relationship in ArchiMate?",A) To show that one element is a more specific type of another element,B) To indicate that one element is derived from another element,C) To show that one element is dependent on another element,D) To show that one element can access another element,A)
65,Which ArchiMate element represents a unit of work that needs to be performed in a business process?,A) Business Function,B) Business Process,C) Business Event,D) Business Interaction,A)
66,"What is the purpose of the ""Association"" relationship in ArchiMate?",A) To show a generic relationship between elements that does not fit into other relationship types,B) To indicate that one element is derived from another element,C) To show that one element is dependent on another element,D) To show that one element can access another element,A)
67,Which ArchiMate viewpoint focuses on modeling the dynamic behavior of the architecture?,A) Business Process Cooperation viewpoint,B) Application Behavior viewpoint,C) Technology Collaboration viewpoint,D) Implementation & Migration viewpoint,B)
